location_id,X,Y,SOCc
1,-88.5865390997,39.8358358173,2.12
2,-88.5874373198,39.8358358173,2.35
3,-88.5883415998,39.8358358173,2.03
4,-88.5892449968,39.8358358173,2.55
5,-88.5901501198,39.8358358173,2.46
6,-88.5910340895,39.83583581730001,2.7
7,-88.5919301497,39.8358358173,2.52
8,-88.5928236373,39.8358358173,1.82
9,-88.5932873994,39.8360617091,2.23
10,-88.5923766607,39.8360617091,1.83
11,-88.5914832912,39.83606170910001,2.05
12,-88.5905873986,39.8360617091,1.89
13,-88.5896972134,39.8360617091,2.03
15,-88.5878875827,39.8360617091,1.99
16,-88.5869869711,39.8360617091,2.12
17,-88.5865390997,39.8362675705,2.17
18,-88.5874373198,39.836267570499984,2.4
19,-88.5883415998,39.8362675705,2.15
20,-88.5892449968,39.8362675705,2.33
22,-88.5910340895,39.83626757049999,2.0
23,-88.5919301497,39.836267570499984,2.18
24,-88.5928236373,39.8362675705,2.19
25,-88.5932873994,39.83651987879999,2.07
26,-88.5923766607,39.8365198788,2.19
27,-88.5914832912,39.8365198788,1.94
28,-88.5905873986,39.8365198788,2.74
29,-88.5896972134,39.83651987879999,2.38
30,-88.5887913179,39.8365198788,2.6
31,-88.5878875827,39.8365198788,2.18
32,-88.5883415998,39.83671407639999,2.25
33,-88.5892449968,39.83671407639999,2.25
34,-88.5901501198,39.8367140764,2.37
35,-88.5910340895,39.83671407639999,2.06
36,-88.5919301497,39.83671407639999,1.83
37,-88.5928236373,39.83671407639999,1.77
38,-88.5932873994,39.83693794559999,1.67
39,-88.5923766607,39.836937945600006,1.8
40,-88.5914832912,39.83693794559999,1.63
41,-88.5905873986,39.83693794559999,1.84
42,-88.5896972134,39.83693794559999,1.72
43,-88.5887913179,39.83693794559999,1.83
44,-88.5878875827,39.83693794559999,1.81
45,-88.5883415998,39.8371415465,2.04
46,-88.5892449968,39.83714154649999,2.13
47,-88.5901501198,39.8371415465,2.01
48,-88.5910340895,39.83714154649999,2.37
49,-88.5919301497,39.83714154649999,1.95
50,-88.5928236373,39.8371415465,2.16
51,-88.5932873994,39.8373763613,1.84
52,-88.5923766607,39.8373763613,2.0
53,-88.5914832912,39.83737636129999,2.21
54,-88.5905873986,39.8373763613,2.08
55,-88.5896972134,39.83737636129998,2.48
56,-88.5887913179,39.8373763613,2.51
57,-88.5883415998,39.83759483389999,2.52
58,-88.5892449968,39.8375948339,2.78
59,-88.5901501198,39.83759483389999,2.1
60,-88.5910340895,39.83759483389999,2.17
61,-88.5919301497,39.83759483389999,2.13
62,-88.5928236373,39.83759483389999,2.01
63,-88.5932873994,39.83782310509999,1.94
64,-88.5923766607,39.8378231051,1.83
65,-88.5914832912,39.8378231051,2.11
66,-88.5905873986,39.8378231051,2.27
67,-88.5896972134,39.8378231051,1.74
68,-88.5887913179,39.83782310509999,2.06
69,-88.5892449968,39.8380278958,2.28
70,-88.5901501198,39.8380278958,2.14
71,-88.5910340895,39.8380278958,2.55
72,-88.5919301497,39.8380278958,2.11
73,-88.5928236373,39.8380278958,2.28
74,-88.5932873994,39.83826568480001,2.14
75,-88.5923766607,39.83826568479999,2.9
76,-88.5914832912,39.83826568479999,2.58
77,-88.5905873986,39.83826568479999,2.12
78,-88.5896972134,39.8382656848,2.24
79,-88.5892449968,39.83845441409999,2.5
80,-88.5901501198,39.8384544141,2.48
81,-88.5910340895,39.83845441409999,2.49
82,-88.5919301497,39.838454414100006,2.32
83,-88.5928236373,39.838454414100006,1.88
84,-88.5932873994,39.8387118338,2.12
85,-88.5923766607,39.83871183380001,1.88
86,-88.5914832912,39.8387118338,2.11
87,-88.5905873986,39.8387118338,2.02
89,-88.5901501198,39.83890948610001,2.13
90,-88.5910340895,39.8389094861,2.23
91,-88.5919301497,39.83890948609999,2.07
92,-88.5928236373,39.83890948610001,1.92
93,-88.5932873994,39.839149059699984,1.77
94,-88.5923766607,39.83914905969999,2.17
95,-88.5914832912,39.839149059700006,2.49
96,-88.5905873986,39.83914905969999,2.21
3,-88.23384,39.7213987,2.03
4,-88.233821,39.7209258,2.55
5,-88.233836,39.7204054,2.46
6,-88.233855,39.719888100000006,2.7
7,-88.233825,39.7193666,2.52
9,-88.233847,39.71831770000001,2.23
10,-88.233864,39.71781349999999,1.83
11,-88.234241,39.717558200000006,2.05
12,-88.234223,39.7180681,1.89
13,-88.234206,39.71857239999999,2.03
15,-88.234184,39.7196212,1.99
16,-88.234194,39.7201815,2.12
17,-88.234195,39.7206601,2.17
18,-88.234198,39.72117479999999,2.4
19,-88.234199,39.7216915,2.15
20,-88.23417700000002,39.7222237,2.33
22,-88.234543,39.7214014,2.0
23,-88.234542,39.7209228,2.18
24,-88.234556,39.72040249999999,2.19
25,-88.234575,39.71988509999999,2.07
26,-88.234545,39.71936360000001,2.19
27,-88.234568,39.7188434,1.94
28,-88.234567,39.7183148,2.74
29,-88.234585,39.7178105,2.38
30,-88.23496100000001,39.71755519999999,2.6
31,-88.234944,39.71806509999999,2.18
32,-88.234926,39.71856939999999,2.25
33,-88.234927,39.719098,2.25
34,-88.234904,39.719618200000006,2.37
35,-88.23491400000002,39.72017859999999,2.06
37,-88.234901,39.72117750000001,1.77
38,-88.23492,39.72168849999999,1.67
39,-88.234898,39.72222070000001,1.8
40,-88.235288,39.721912799999984,1.63
41,-88.235269,39.7214018,1.84
42,-88.235268,39.7209232,1.72
43,-88.235283,39.72040290000001,1.83
44,-88.235302,39.7198855,1.81
45,-88.235271,39.719364,2.04
46,-88.235294,39.7188438,2.13
47,-88.235293,39.71831519999999,2.01
48,-88.23531100000001,39.7178109,2.37
49,-88.235687,39.7175556,1.95
50,-88.23567,39.71806550000001,2.16
51,-88.235652,39.71856979999999,1.84
52,-88.23565300000001,39.71909840000001,2.0
53,-88.23563,39.71961859999999,2.21
54,-88.235641,39.7201789,2.08
55,-88.235642,39.72065750000001,2.48
57,-88.235646,39.72168889999999,2.52
58,-88.236007,39.7213932,2.78
59,-88.235988,39.7209202,2.1
60,-88.23600300000001,39.72039989999998,2.17
61,-88.236022,39.7198825,2.13
62,-88.235992,39.719361,2.01
63,-88.236015,39.7188408,1.94
64,-88.236014,39.7183122,1.83
66,-88.236408,39.7175526,2.27
67,-88.23639000000001,39.7180625,1.74
68,-88.236373,39.7185668,2.06
69,-88.236374,39.71909539999999,2.28
70,-88.236351,39.71961559999998,2.14
71,-88.236361,39.720176,2.55
72,-88.236362,39.7206545,2.11
73,-88.236347,39.7211749,2.28
74,-88.236366,39.7216859,2.14
75,-88.23673,39.7214429,2.9
76,-88.236729,39.7209643,2.58
77,-88.236743,39.720444,2.12
78,-88.236762,39.7199266,2.24
79,-88.23673200000002,39.7194051,2.5
80,-88.236755,39.7188849,2.48
81,-88.236754,39.7183563,2.49
82,-88.236772,39.71785199999999,2.32
83,-88.237148,39.7175967,1.88
84,-88.237131,39.71810659999999,2.12
85,-88.237113,39.71861090000001,1.88
86,-88.237114,39.7191395,2.11
87,-88.237091,39.7196597,2.02
89,-88.237102,39.7206986,2.13
90,-88.237088,39.72121899999999,2.23
91,-88.237449,39.72096129999999,2.07
92,-88.237464,39.72044100000001,1.92
93,-88.237483,39.7199236,1.77
94,-88.237453,39.7194021,2.17
95,-88.237475,39.71888189999999,2.49
1,-89.06433841,39.72430196,2.12
2,-89.06435812,39.72396708000001,2.35
3,-89.06436718,39.72378258,2.03
4,-89.0643353,39.72358718,2.55
5,-89.06432908,39.7232988,2.46
6,-89.06434896000002,39.72297948999999,2.7
7,-89.06435201,39.72265643999999,2.52
8,-89.06280794,39.72430446999999,1.82
9,-89.06278136,39.723676860000005,2.23
10,-89.06276196,39.72329566999999,1.83
11,-89.0623084,39.72414935999999,2.05
12,-89.06229034,39.72397482000001,1.89
13,-89.06170818,39.72381043,2.03
