location_id,X,Y,SOCc
3,-88.5883415998,39.8358358173,2.63
4,-88.5892449968,39.8358358173,1.7
5,-88.5901501198,39.8358358173,2.04
6,-88.5910340895,39.83583581730001,1.72
7,-88.5919301497,39.8358358173,1.86
9,-88.5932873994,39.8360617091,1.91
10,-88.5923766607,39.8360617091,1.97
11,-88.5914832912,39.83606170910001,2.17
12,-88.5905873986,39.8360617091,2.04
13,-88.5896972134,39.8360617091,1.71
15,-88.5878875827,39.8360617091,1.84
16,-88.5869869711,39.8360617091,1.95
17,-88.5865390997,39.8362675705,1.95
18,-88.5874373198,39.836267570499984,1.59
19,-88.5883415998,39.8362675705,1.92
20,-88.5892449968,39.8362675705,1.97
22,-88.5910340895,39.83626757049999,1.95
23,-88.5919301497,39.836267570499984,1.62
24,-88.5928236373,39.8362675705,1.78
25,-88.5932873994,39.83651987879999,1.92
26,-88.5923766607,39.8365198788,2.16
27,-88.5914832912,39.8365198788,1.87
28,-88.5905873986,39.8365198788,2.01
29,-88.5896972134,39.83651987879999,1.88
30,-88.5887913179,39.8365198788,2.0
31,-88.5878875827,39.8365198788,1.97
32,-88.5883415998,39.83671407639999,1.73
33,-88.5892449968,39.83671407639999,2.25
34,-88.5901501198,39.8367140764,1.9
35,-88.5910340895,39.83671407639999,2.04
37,-88.5928236373,39.83671407639999,1.77
38,-88.5932873994,39.83693794559999,1.88
39,-88.5923766607,39.836937945600006,2.02
40,-88.5914832912,39.83693794559999,2.09
41,-88.5905873986,39.83693794559999,1.67
42,-88.5896972134,39.83693794559999,1.69
43,-88.5887913179,39.83693794559999,1.85
44,-88.5878875827,39.83693794559999,1.7
45,-88.5883415998,39.8371415465,1.83
46,-88.5892449968,39.83714154649999,1.94
47,-88.5901501198,39.8371415465,1.67
48,-88.5910340895,39.83714154649999,1.6
49,-88.5919301497,39.83714154649999,1.66
50,-88.5928236373,39.8371415465,1.7
51,-88.5932873994,39.8373763613,1.72
52,-88.5923766607,39.8373763613,1.6
53,-88.5914832912,39.83737636129999,2.48
54,-88.5905873986,39.8373763613,1.73
55,-88.5896972134,39.83737636129998,1.96
57,-88.5883415998,39.83759483389999,2.02
58,-88.5892449968,39.8375948339,2.0
59,-88.5901501198,39.83759483389999,2.09
60,-88.5910340895,39.83759483389999,2.04
61,-88.5919301497,39.83759483389999,1.97
62,-88.5928236373,39.83759483389999,1.78
63,-88.5932873994,39.83782310509999,1.41
64,-88.5923766607,39.8378231051,1.48
66,-88.5905873986,39.8378231051,1.85
67,-88.5896972134,39.8378231051,1.72
68,-88.5887913179,39.83782310509999,2.03
69,-88.5892449968,39.8380278958,1.84
70,-88.5901501198,39.8380278958,1.9
71,-88.5910340895,39.8380278958,1.98
72,-88.5919301497,39.8380278958,1.64
73,-88.5928236373,39.8380278958,1.8
74,-88.5932873994,39.83826568480001,2.45
75,-88.5923766607,39.83826568479999,1.89
76,-88.5914832912,39.83826568479999,1.8
77,-88.5905873986,39.83826568479999,2.05
78,-88.5896972134,39.8382656848,1.81
79,-88.5892449968,39.83845441409999,1.82
80,-88.5901501198,39.8384544141,1.61
81,-88.5910340895,39.83845441409999,1.78
82,-88.5919301497,39.838454414100006,1.97
83,-88.5928236373,39.838454414100006,1.72
84,-88.5932873994,39.8387118338,1.67
85,-88.5923766607,39.83871183380001,1.93
86,-88.5914832912,39.8387118338,2.05
87,-88.5905873986,39.8387118338,1.59
89,-88.5901501198,39.83890948610001,2.14
90,-88.5910340895,39.8389094861,2.08
91,-88.5919301497,39.83890948609999,2.09
92,-88.5928236373,39.83890948610001,1.16
93,-88.5932873994,39.839149059699984,4.06
94,-88.5923766607,39.83914905969999,1.7
95,-88.5914832912,39.839149059700006,1.52
3,-88.23384,39.7213987,2.63
4,-88.233821,39.7209258,1.7
5,-88.233836,39.7204054,2.04
6,-88.233855,39.719888100000006,1.72
7,-88.233825,39.7193666,1.86
9,-88.233847,39.71831770000001,1.91
10,-88.233864,39.71781349999999,1.97
11,-88.234241,39.717558200000006,2.17
12,-88.234223,39.7180681,2.04
13,-88.234206,39.71857239999999,1.71
14,-88.234206,39.719101,1.99
15,-88.234184,39.7196212,1.84
16,-88.234194,39.7201815,1.95
17,-88.234195,39.7206601,1.95
18,-88.234198,39.72117479999999,1.59
19,-88.234199,39.7216915,1.92
20,-88.23417700000002,39.7222237,1.97
21,-88.234584,39.7219335,1.82
22,-88.234543,39.7214014,1.95
23,-88.234542,39.7209228,1.62
24,-88.234556,39.72040249999999,1.78
25,-88.234575,39.71988509999999,1.92
26,-88.234545,39.71936360000001,2.16
27,-88.234568,39.7188434,1.87
28,-88.234567,39.7183148,2.01
29,-88.234585,39.7178105,1.88
30,-88.23496100000001,39.71755519999999,2.0
31,-88.234944,39.71806509999999,1.97
32,-88.234926,39.71856939999999,1.73
33,-88.234927,39.719098,2.25
34,-88.234904,39.719618200000006,1.9
35,-88.23491400000002,39.72017859999999,2.04
37,-88.234901,39.72117750000001,1.77
38,-88.23492,39.72168849999999,1.88
39,-88.234898,39.72222070000001,2.02
40,-88.235288,39.721912799999984,2.09
41,-88.235269,39.7214018,1.67
42,-88.235268,39.7209232,1.69
43,-88.235283,39.72040290000001,1.85
44,-88.235302,39.7198855,1.7
