location_id,X,Y,SOCc
IL-RS-A01,-88.29399699,40.00733046,2.27
IL-RS-A02,-88.29359737,40.0073373,1.82
IL-RS-A03,-88.29319798,40.00733839,2.58
IL-RS-A04,-88.29279044,40.00733659,2.11
IL-RS-A05,-88.29239549,40.00733564,1.71
IL-RS-A06,-88.29198528,40.00733425999999,2.65
IL-RS-A07,-88.29159052,40.00732648999999,2.24
IL-RS-A11,-88.28993304,40.00731265999999,1.39
IL-RS-A12,-88.28952194,40.00730949,2.57
IL-RS-A13,-88.28910668,40.00730768,1.64
IL-RS-A14,-88.28870139,40.00730501999999,2.05
IL-RS-A15,-88.28829564,40.00730511,2.09
IL-RS-A16,-88.28788204,40.00730275999999,2.54
IL-RS-A17,-88.28747315,40.00730056,2.11
IL-RS-A18,-88.28706749,40.00730072999999,1.97
IL-RS-A19,-88.28665566,40.00729875999999,1.7
IL-RS-A20,-88.28624004,40.00725915,2.09
IL-RS-A21,-88.28582271,40.007209210000006,1.99
IL-RS-B01,-88.29399059,40.00697758,2.27
IL-RS-B02,-88.29360318,40.00697293,2.35
IL-RS-B03,-88.29319968,40.00696832999999,1.66
IL-RS-B04,-88.29278009,40.00696258,1.76
IL-RS-B05,-88.29237603,40.00696216,2.56
IL-RS-B06,-88.29197007,40.00695749,1.95
IL-RS-B12,-88.28951672,40.00692238,2.5
IL-RS-B13,-88.28910863,40.00691759000001,2.1
IL-RS-B14,-88.28870786,40.00691329,2.51
IL-RS-B15,-88.28829224,40.00691316,2.24
IL-RS-B16,-88.28788409,40.00690927,2.64
IL-RS-B17,-88.28746907,40.00690392999999,2.1
IL-RS-B18,-88.28705574,40.00690229,2.29
IL-RS-B19,-88.28665073,40.00690086,1.99
IL-RS-B20,-88.28623567,40.00689751,2.31
IL-RS-B21,-88.28582682,40.00689414,1.64
IL-RS-C01,-88.29398136,40.0066604,2.32
IL-RS-C02,-88.29356676000002,40.006655470000005,2.02
IL-RS-C03,-88.2931575,40.00665862,1.71
IL-RS-C04,-88.29281999,40.00666487,2.04
IL-RS-C05,-88.29241060000001,40.00666678,2.89
IL-RS-C06,-88.29198544,40.00666531,2.45
IL-RS-C07,-88.29158287,40.00666172,2.56
IL-RS-C08,-88.29117419,40.00665573999999,2.79
IL-RS-C09,-88.29076488,40.00664951,2.21
IL-RS-C10,-88.29035235,40.00664424,2.19
IL-RS-C11,-88.28994208,40.00663757,2.38
IL-RS-C12,-88.28952852000002,40.00663068,2.38
IL-RS-C14,-88.28870488,40.00662452,2.69
IL-RS-C15,-88.28828731,40.006619500000006,2.27
IL-RS-C16,-88.28787719,40.00661628,1.71
IL-RS-C17,-88.2874673,40.00661104000002,1.75
