location_id,X,Y,site,SOCc
32,-88.5883415998,39.83671407639999,IL-DG,1.73
32,-88.5883415998,39.83671407639999,IL-MC,1.7
33,-88.5892449968,39.83671407639999,IL-PT,2.25
33,-88.5892449968,39.83671407639999,IL-DG,2.25
33,-88.5892449968,39.83671407639999,IL-MC,1.55
34,-88.5901501198,39.8367140764,IL-PT,2.37
34,-88.5901501198,39.8367140764,IL-DG,1.9
34,-88.5901501198,39.8367140764,IL-MC,1.72
35,-88.5910340895,39.83671407639999,IL-PT,2.06
35,-88.5910340895,39.83671407639999,IL-DG,2.04
35,-88.5910340895,39.83671407639999,IL-MC,1.24
36,-88.5919301497,39.83671407639999,IL-PT,1.83
36,-88.5919301497,39.83671407639999,IL-MC,1.41
37,-88.5928236373,39.83671407639999,IL-PT,1.77
37,-88.5928236373,39.83671407639999,IL-DG,1.77
37,-88.5928236373,39.83671407639999,IL-MC,1.69
38,-88.5932873994,39.83693794559999,IL-PT,1.67
38,-88.5932873994,39.83693794559999,IL-DG,1.88
38,-88.5932873994,39.83693794559999,IL-MC,1.75
39,-88.5923766607,39.836937945600006,IL-PT,1.8
39,-88.5923766607,39.836937945600006,IL-DG,2.02
39,-88.5923766607,39.836937945600006,IL-MC,1.91
40,-88.5914832912,39.83693794559999,IL-PT,1.63
40,-88.5914832912,39.83693794559999,IL-DG,2.09
40,-88.5914832912,39.83693794559999,IL-MC,1.46
41,-88.5905873986,39.83693794559999,IL-PT,1.84
41,-88.5905873986,39.83693794559999,IL-DG,1.67
41,-88.5905873986,39.83693794559999,IL-MC,1.78
42,-88.5896972134,39.83693794559999,IL-PT,1.72
42,-88.5896972134,39.83693794559999,IL-DG,1.69
42,-88.5896972134,39.83693794559999,IL-MC,1.96
43,-88.5887913179,39.83693794559999,IL-PT,1.83
43,-88.5887913179,39.83693794559999,IL-DG,1.85
43,-88.5887913179,39.83693794559999,IL-MC,1.88
44,-88.5878875827,39.83693794559999,IL-PT,1.81
44,-88.5878875827,39.83693794559999,IL-DG,1.7
44,-88.5878875827,39.83693794559999,IL-MC,1.89
45,-88.5883415998,39.8371415465,IL-PT,2.04
45,-88.5883415998,39.8371415465,IL-DG,1.83
45,-88.5883415998,39.8371415465,IL-MC,1.57
46,-88.5892449968,39.83714154649999,IL-PT,2.13
46,-88.5892449968,39.83714154649999,IL-DG,1.94
46,-88.5892449968,39.83714154649999,IL-MC,1.71
47,-88.5901501198,39.8371415465,IL-PT,2.01
47,-88.5901501198,39.8371415465,IL-DG,1.67
47,-88.5901501198,39.8371415465,IL-MC,1.83
48,-88.5910340895,39.83714154649999,IL-PT,2.37
48,-88.5910340895,39.83714154649999,IL-DG,1.6
48,-88.5910340895,39.83714154649999,IL-MC,2.05
49,-88.5919301497,39.83714154649999,IL-PT,1.95
49,-88.5919301497,39.83714154649999,IL-DG,1.66
49,-88.5919301497,39.83714154649999,IL-MC,1.75
50,-88.5928236373,39.8371415465,IL-PT,2.16
50,-88.5928236373,39.8371415465,IL-DG,1.7
50,-88.5928236373,39.8371415465,IL-MC,1.67
51,-88.5932873994,39.8373763613,IL-PT,1.84
51,-88.5932873994,39.8373763613,IL-DG,1.72
51,-88.5932873994,39.8373763613,IL-MC,1.43
52,-88.5923766607,39.8373763613,IL-PT,2.0
52,-88.5923766607,39.8373763613,IL-DG,1.6
52,-88.5923766607,39.8373763613,IL-MC,1.72
53,-88.5914832912,39.83737636129999,IL-PT,2.21
53,-88.5914832912,39.83737636129999,IL-DG,2.48
54,-88.5905873986,39.8373763613,IL-PT,2.08
54,-88.5905873986,39.8373763613,IL-DG,1.73
55,-88.5896972134,39.83737636129998,IL-PT,2.48
55,-88.5896972134,39.83737636129998,IL-DG,1.96
56,-88.5887913179,39.8373763613,IL-PT,2.51
57,-88.5883415998,39.83759483389999,IL-PT,2.52
57,-88.5883415998,39.83759483389999,IL-DG,2.02
58,-88.5892449968,39.8375948339,IL-PT,2.78
58,-88.5892449968,39.8375948339,IL-DG,2.0
59,-88.5901501198,39.83759483389999,IL-PT,2.1
59,-88.5901501198,39.83759483389999,IL-DG,2.09
60,-88.5910340895,39.83759483389999,IL-PT,2.17
60,-88.5910340895,39.83759483389999,IL-DG,2.04
61,-88.5919301497,39.83759483389999,IL-PT,2.13
61,-88.5919301497,39.83759483389999,IL-DG,1.97
62,-88.5928236373,39.83759483389999,IL-PT,2.01
62,-88.5928236373,39.83759483389999,IL-DG,1.78
63,-88.5932873994,39.83782310509999,IL-PT,1.94
63,-88.5932873994,39.83782310509999,IL-DG,1.41
64,-88.5923766607,39.8378231051,IL-PT,1.83
64,-88.5923766607,39.8378231051,IL-DG,1.48
65,-88.5914832912,39.8378231051,IL-PT,2.11
66,-88.5905873986,39.8378231051,IL-PT,2.27
66,-88.5905873986,39.8378231051,IL-DG,1.85
67,-88.5896972134,39.8378231051,IL-PT,1.74
67,-88.5896972134,39.8378231051,IL-DG,1.72
68,-88.5887913179,39.83782310509999,IL-PT,2.06
68,-88.5887913179,39.83782310509999,IL-DG,2.03
69,-88.5892449968,39.8380278958,IL-PT,2.28
69,-88.5892449968,39.8380278958,IL-DG,1.84
70,-88.5901501198,39.8380278958,IL-PT,2.14
70,-88.5901501198,39.8380278958,IL-DG,1.9
71,-88.5910340895,39.8380278958,IL-PT,2.55
71,-88.5910340895,39.8380278958,IL-DG,1.98
72,-88.5919301497,39.8380278958,IL-PT,2.11
72,-88.5919301497,39.8380278958,IL-DG,1.64
73,-88.5928236373,39.8380278958,IL-PT,2.28
73,-88.5928236373,39.8380278958,IL-DG,1.8
74,-88.5932873994,39.83826568480001,IL-PT,2.14
74,-88.5932873994,39.83826568480001,IL-DG,2.45
75,-88.5923766607,39.83826568479999,IL-PT,2.9
75,-88.5923766607,39.83826568479999,IL-DG,1.89
76,-88.5914832912,39.83826568479999,IL-PT,2.58
76,-88.5914832912,39.83826568479999,IL-DG,1.8
77,-88.5905873986,39.83826568479999,IL-PT,2.12
77,-88.5905873986,39.83826568479999,IL-DG,2.05
78,-88.5896972134,39.8382656848,IL-PT,2.24
78,-88.5896972134,39.8382656848,IL-DG,1.81
79,-88.5892449968,39.83845441409999,IL-PT,2.5
79,-88.5892449968,39.83845441409999,IL-DG,1.82
80,-88.5901501198,39.8384544141,IL-PT,2.48
80,-88.5901501198,39.8384544141,IL-DG,1.61
81,-88.5910340895,39.83845441409999,IL-PT,2.49
81,-88.5910340895,39.83845441409999,IL-DG,1.78
82,-88.5919301497,39.838454414100006,IL-PT,2.32
82,-88.5919301497,39.838454414100006,IL-DG,1.97
83,-88.5928236373,39.838454414100006,IL-PT,1.88
83,-88.5928236373,39.838454414100006,IL-DG,1.72
84,-88.5932873994,39.8387118338,IL-PT,2.12
84,-88.5932873994,39.8387118338,IL-DG,1.67
85,-88.5923766607,39.83871183380001,IL-PT,1.88
85,-88.5923766607,39.83871183380001,IL-DG,1.93
86,-88.5914832912,39.8387118338,IL-PT,2.11
86,-88.5914832912,39.8387118338,IL-DG,2.05
87,-88.5905873986,39.8387118338,IL-PT,2.02
87,-88.5905873986,39.8387118338,IL-DG,1.59
89,-88.5901501198,39.83890948610001,IL-PT,2.13
89,-88.5901501198,39.83890948610001,IL-DG,2.14
90,-88.5910340895,39.8389094861,IL-PT,2.23
90,-88.5910340895,39.8389094861,IL-DG,2.08
91,-88.5919301497,39.83890948609999,IL-PT,2.07
91,-88.5919301497,39.83890948609999,IL-DG,2.09
92,-88.5928236373,39.83890948610001,IL-PT,1.92
92,-88.5928236373,39.83890948610001,IL-DG,1.16
93,-88.5932873994,39.839149059699984,IL-PT,1.77
93,-88.5932873994,39.839149059699984,IL-DG,4.06
94,-88.5923766607,39.83914905969999,IL-PT,2.17
94,-88.5923766607,39.83914905969999,IL-DG,1.7
95,-88.5914832912,39.839149059700006,IL-PT,2.49
95,-88.5914832912,39.839149059700006,IL-DG,1.52
96,-88.5905873986,39.83914905969999,IL-PT,2.21
3,-88.23384,39.7213987,IL-PT,2.03
3,-88.23384,39.7213987,IL-DG,2.63
3,-88.23384,39.7213987,IL-MC,1.7
4,-88.233821,39.7209258,IL-PT,2.55
4,-88.233821,39.7209258,IL-DG,1.7
4,-88.233821,39.7209258,IL-MC,1.89
5,-88.233836,39.7204054,IL-PT,2.46
5,-88.233836,39.7204054,IL-DG,2.04
5,-88.233836,39.7204054,IL-MC,2.08
6,-88.233855,39.719888100000006,IL-PT,2.7
6,-88.233855,39.719888100000006,IL-DG,1.72
6,-88.233855,39.719888100000006,IL-MC,1.81
7,-88.233825,39.7193666,IL-PT,2.52
7,-88.233825,39.7193666,IL-DG,1.86
7,-88.233825,39.7193666,IL-MC,2.21
9,-88.233847,39.71831770000001,IL-PT,2.23
9,-88.233847,39.71831770000001,IL-DG,1.91
9,-88.233847,39.71831770000001,IL-MC,2.02
10,-88.233864,39.71781349999999,IL-PT,1.83
10,-88.233864,39.71781349999999,IL-DG,1.97
10,-88.233864,39.71781349999999,IL-MC,1.46
11,-88.234241,39.717558200000006,IL-PT,2.05
11,-88.234241,39.717558200000006,IL-DG,2.17
11,-88.234241,39.717558200000006,IL-MC,1.69
12,-88.234223,39.7180681,IL-PT,1.89
12,-88.234223,39.7180681,IL-DG,2.04
12,-88.234223,39.7180681,IL-MC,1.72
13,-88.234206,39.71857239999999,IL-PT,2.03
13,-88.234206,39.71857239999999,IL-DG,1.71
13,-88.234206,39.71857239999999,IL-MC,1.75
14,-88.234206,39.719101,IL-DG,1.99
14,-88.234206,39.719101,IL-MC,1.65
15,-88.234184,39.7196212,IL-PT,1.99
15,-88.234184,39.7196212,IL-DG,1.84
15,-88.234184,39.7196212,IL-MC,1.79
16,-88.234194,39.7201815,IL-PT,2.12
16,-88.234194,39.7201815,IL-DG,1.95
16,-88.234194,39.7201815,IL-MC,2.09
17,-88.234195,39.7206601,IL-PT,2.17
17,-88.234195,39.7206601,IL-DG,1.95
17,-88.234195,39.7206601,IL-MC,1.66
18,-88.234198,39.72117479999999,IL-PT,2.4
18,-88.234198,39.72117479999999,IL-DG,1.59
18,-88.234198,39.72117479999999,IL-MC,1.82
19,-88.234199,39.7216915,IL-PT,2.15
19,-88.234199,39.7216915,IL-DG,1.92
19,-88.234199,39.7216915,IL-MC,2.0
20,-88.23417700000002,39.7222237,IL-PT,2.33
20,-88.23417700000002,39.7222237,IL-DG,1.97
20,-88.23417700000002,39.7222237,IL-MC,1.62
21,-88.234584,39.7219335,IL-DG,1.82
21,-88.234584,39.7219335,IL-MC,1.72
22,-88.234543,39.7214014,IL-PT,2.0
22,-88.234543,39.7214014,IL-DG,1.95
22,-88.234543,39.7214014,IL-MC,1.53
23,-88.234542,39.7209228,IL-PT,2.18
23,-88.234542,39.7209228,IL-DG,1.62
23,-88.234542,39.7209228,IL-MC,1.92
24,-88.234556,39.72040249999999,IL-PT,2.19
24,-88.234556,39.72040249999999,IL-DG,1.78
24,-88.234556,39.72040249999999,IL-MC,1.95
25,-88.234575,39.71988509999999,IL-PT,2.07
25,-88.234575,39.71988509999999,IL-DG,1.92
25,-88.234575,39.71988509999999,IL-MC,1.65
26,-88.234545,39.71936360000001,IL-PT,2.19
26,-88.234545,39.71936360000001,IL-DG,2.16
26,-88.234545,39.71936360000001,IL-MC,2.12
27,-88.234568,39.7188434,IL-PT,1.94
27,-88.234568,39.7188434,IL-DG,1.87
27,-88.234568,39.7188434,IL-MC,1.56
28,-88.234567,39.7183148,IL-PT,2.74
28,-88.234567,39.7183148,IL-DG,2.01
28,-88.234567,39.7183148,IL-MC,1.68
29,-88.234585,39.7178105,IL-PT,2.38
29,-88.234585,39.7178105,IL-DG,1.88
29,-88.234585,39.7178105,IL-MC,1.78
30,-88.23496100000001,39.71755519999999,IL-PT,2.6
30,-88.23496100000001,39.71755519999999,IL-DG,2.0
30,-88.23496100000001,39.71755519999999,IL-MC,1.84
31,-88.234944,39.71806509999999,IL-PT,2.18
31,-88.234944,39.71806509999999,IL-DG,1.97
31,-88.234944,39.71806509999999,IL-MC,1.93
32,-88.234926,39.71856939999999,IL-PT,2.25
32,-88.234926,39.71856939999999,IL-DG,1.73
32,-88.234926,39.71856939999999,IL-MC,1.7
33,-88.234927,39.719098,IL-PT,2.25
33,-88.234927,39.719098,IL-DG,2.25
33,-88.234927,39.719098,IL-MC,1.55
34,-88.234904,39.719618200000006,IL-PT,2.37
34,-88.234904,39.719618200000006,IL-DG,1.9
34,-88.234904,39.719618200000006,IL-MC,1.72
35,-88.23491400000002,39.72017859999999,IL-PT,2.06
35,-88.23491400000002,39.72017859999999,IL-DG,2.04
35,-88.23491400000002,39.72017859999999,IL-MC,1.24
37,-88.234901,39.72117750000001,IL-PT,1.77
37,-88.234901,39.72117750000001,IL-DG,1.77
37,-88.234901,39.72117750000001,IL-MC,1.69
